price,brand,resolution,screen_size,level_1_model,processor_speed,ram,warranty,hdd_exist,ssd_exist,graphic_card_exist,storage
162,1370.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,240.0
163,310.0,lenovo,hd,12.5,thinkpad,2.3,8.0,1,1,1,0,740.0
164,410.0,lenovo,hd,12.5,thinkpad,2.2,8.0,1,0,0,0,0.0
165,282.0,lenovo,wxga+,12.1,x201,2.53,4.0,1,1,0,0,320.0
166,550.0,toshiba,fhd,15.6,tecra,2.6,8.0,1,0,1,0,256.0
167,650.0,toshiba,fhd,15.6,tecra,2.6,8.0,1,0,1,0,512.0
168,500.0,hp,hd,13.3,probook,1.7,8.0,0,0,0,0,0.0
169,360.0,dell,hd,12.5,latitude,2.0,8.0,1,0,1,0,128.0
170,380.0,dell,hd,14.0,latitude,2.0,4.0,1,0,0,0,0.0
171,600.0,dell,fhd,14.0,latitude,3.4,8.0,1,0,1,0,256.0
172,315.0,dell,hd,14.0,vostro,2.6,4.0,1,1,0,0,500.0
173,400.0,hp,qhd+,13.3,chromebook,1.1,16.0,1,0,0,1,0.0
174,540.99,hp,fhd,14.0,elitebook,2.6,8.0,1,0,1,1,128.0
175,420.0,hp,fhd,14.0,elitebook,2.6,4.0,1,0,0,1,0.0
176,490.0,hp,hd,13.3,probook,2.3,8.0,1,0,1,0,500.0
177,425.0,lenovo,hd,14.0,thinkpad,2.3,8.0,1,0,1,0,256.0
178,310.0,lenovo,hd,14.0,thinkpad,2.9,4.0,1,1,0,0,320.0
179,1260.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,256.0
180,1370.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,240.0
181,650.0,toshiba,fhd,15.6,tecra,2.6,8.0,1,0,1,0,512.0
182,649.49,asus,fhd,13.3,zenbook,1.9,4.0,0,0,1,0,256.0
183,932.73,hp,fhd,15.6,notebook,2.3,8.0,0,0,1,1,256.0
184,1115.62,acer,fhd,15.6,nitro,2.4,8.0,0,0,1,1,256.0
185,1074.2,lenovo,fhd,13.3,yoga,4.6,16.0,0,0,1,0,256.0
186,697.88,lenovo,hd,14.0,thinkpad,2.53,4.0,1,1,0,0,128.0
187,853.93,hp,fhd,14.0,notebook,1.6,4.0,0,0,1,1,256.0
188,449.0,dell,hd+,14.0,latitude,2.5,8.0,0,0,1,0,240.0
189,699.89,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,0,1,512.0
190,816.55,hp,hd,15.6,elitebook,2.5,8.0,1,1,0,1,128.0
191,539.19,asus,fhd,12.5,chromebook,0.9,4.0,0,0,0,0,0.0
192,1815.04,msi,fhd,17.3,gf75,4.7,8.0,0,0,1,1,512.0
193,1000.08,hp,fhd,14.0,laptop,1.3,8.0,0,0,1,0,512.0
194,888.99,lenovo,fhd,14.0,ideapad,3.6,8.0,0,0,1,0,256.0
195,863.21,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,0,1,128.0
196,1279.16,hp,fhd,15.6,pavilion,2.3,16.0,0,0,1,1,512.0
197,1208.57,dell,fhd,15.6,inspiron,2.7,16.0,0,1,0,1,2048.0
198,839.44,asus,fhd,13.3,zenbook,1.1,8.0,0,0,1,0,256.0
199,345.0,panasonic,hd,12.5,toughbook,1.9,4.0,0,0,1,0,128.0
200,611.17,acer,fhd,14.0,swift,2.3,4.0,0,0,1,0,128.0
201,888.99,hp,fhd,15.6,laptop,1.0,4.0,0,0,1,0,256.0
202,545.72,asus,fhd,13.3,zenbook,0.9,8.0,0,0,1,0,128.0
203,785.76,hp,fhd,14.0,laptop,2.1,8.0,0,0,1,0,256.0
204,851.95,hp,fhd,14.0,laptop,1.6,4.0,0,0,1,0,256.0
205,245.0,dell,hd,14.1,latitude,2.53,4.0,0,1,0,0,160.0
206,1471.64,medion,fhd,15.6,erazer,2.6,8.0,0,0,1,1,512.0
207,981.59,asus,fhd,13.3,vivobook,4.1,8.0,0,0,1,0,512.0
208,1298.0,asus,fhd,13.3,zenbook,1.8,16.0,1,0,1,1,1000.0
209,1249.0,gigabyte,fhd,17.3,p57v6,2.6,16.0,1,0,1,1,512.0
210,549.0,toshiba,hd,14.0,tecra,2.1,8.0,1,0,1,1,256.0
211,1299.0,apple,qhd,12.0,macbook,1.1,8.0,1,0,1,1,256.0
212,1899.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,512.0
213,389.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,128.0
214,489.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,128.0
215,799.0,dell,fhd,15.6,precision,2.2,16.0,1,0,1,1,512.0
216,799.0,lenovo,fhd,14.0,ideapad,1.8,8.0,1,0,1,1,512.0
